id	frequency	board	fill	hasQR
00015329231620d1962ee3713e4cf9ba	1849	Kb,Bw,Rb,Pw,Qw,Bb,Rw,Qb,Rb,,,,,,,Pw,Pw,,,,,,,Rw,Qb,,,Nb,Nb,,,Bw,Bw,,,Nb,Nb,,,Qb,Rw,,,,,,,Kb,Pb,,,,,,,Rb,Qb,Pw,Nb,Bb,Kw,Pb,Rw,Rb	darkRed	0
00107e6c847b184f8e61d54dcaaa39ce	2541	Pw,Pw,Qw,Bb,Rw,Pb,Qb,Kb,Rb,,,,,,,Bw,Bw,,,,,,,Nb,Qb,,,,,,,Pb,Pb,,,,,,,Kb,Rw,,,,,,,Bb,Nb,,,,,,,Nw,Rw,Qb,Pb,Rw,Bb,Qw,Pw,Bw	darkGray	0
0012a0b596635c0b193979582b4cd21d	2864	Bb,Nw,Rb,Kb,Qw,Nb,Rw,Rb,Kb,,,,,,,Qb,Qw,,,,,,,Bw,Nw,,,Rb,Rb,,,Rw,Rb,,,Rb,Rb,,,Pb,Kw,,,,,,,Qw,Qb,,,,,,,Bb,Bw,Kw,Qb,Nb,Rw,Kb,Qw,Qw	darkGray	0
001483b9490cc9c22c62bc8c32b969fe	52	Bw,Qb,Nw,Rb,Kb,Bw,Nb,Qb,Kw,,,,,,,Rw,Rw,,,,,,,Kw,Nw,,,Pb,Pb,,,Bw,Qb,,,Pb,Pb,,,Nb,Kb,,,,,,,Rb,Rb,,,,,,,Kb,Pw,Nw,Pb,Kb,Bw,Nb,Pw,Kw	darkGray	1
001afcc735de9fa3697aff23290134f8	756	Kb,Qb,Kw,Rb,Nw,Qw,Kb,Pb,Qw,,,,,,,Nb,Kb,,,,,,,Pw,Rb,,,Nb,Nb,,,Kb,Nw,,,Nb,Nb,,,Bw,Qb,,,,,,,Nw,Kw,,,,,,,Rb,Pb,Kw,Qb,Nb,Rw,Kb,Qw,Qw	lightGray	0
001ebeacb91dab5b72ea21b0853897f0	1801	Bb,Rw,Bb,Qw,Pw,Rb,Bw,Rb,Kw,,,,,,,Pw,Pw,,,,,,,Rb,Nw,,,Nw,Nw,,,Bb,Bb,,,Nw,Nw,,,Qw,Qb,,,,,,,Pb,Pb,,,,,,,Rw,Kb,Pb,Qb,Bw,Rb,Pw,Qw,Qw	darkGray	0
003052c9905293d37c6993d0640a3b8f	1940	Kw,Rb,Pw,Qb,Bw,Rw,Kw,Qb,Nb,,,,,,,Pb,Rw,,,,,,,Nw,Kw,,,Nw,Nw,,,Qw,Qb,,,Nw,Nw,,,Kb,Nw,,,,,,,Rw,Rb,,,,,,,Nb,Nb,Bb,Qw,Pb,Nw,Bw,Kb,Bw	lightGray	0
003af2f0a6513bdc0c59cd605ab366c0	1456	Nw,Kw,Pw,Nb,Bw,Kb,Rb,Kw,Rw,,,,,,,Qw,Pb,,,,,,,Bb,Qb,,,,,,,Nw,Bw,,,,,,,Pb,Rb,,,,,,,Qb,Pw,,,,,,,Bw,Bw,Pb,Kb,Bb,Nw,Pw,Kw,Nb	lightGray	0
0053ec4563fb7324591ab128c3c89949	4058	Kw,Pw,Rb,Bw,Qb,Pb,Rw,Pw,Kb,,,,,,,Pb,Pb,,,,,,,Qb,Nw,,,Qb,Qb,,,Bw,Bb,,,Qb,Qb,,,Rb,Qw,,,,,,,Pw,Pw,,,,,,,Qw,Qb,Pw,Nb,Bb,Kw,Pb,Nw,Qb	darkGray	0
00590a7b4a2b647e18acad24249c6a9e	1166	Nb,Bb,Rw,Pw,Qw,Bw,Rb,Bw,Rw,,,,,,,Qb,Pb,,,,,,,Bw,Qw,,,Nw,Nw,,,Rw,Bb,,,Nw,Nw,,,Pb,Rb,,,,,,,Kw,Pw,,,,,,,Bb,Bb,Nb,Rw,Kb,Qw,Nw,Rb,Kw	darkRed	0
